client_id,round_number,hierarchy,num_samples,set,accuracy,loss
THE_TRAGEDY_OF_CORIOLANUS_COMINIUS,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,K,I,N,G, ,L,E,A,R",10502,test,0.0010204081632653062,4.3830437660217285
THE_TRAGEDY_OF_CORIOLANUS_LARTIUS,0,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",2101,test,0.0,4.383584976196289
THE_TRAGEDY_OF_CORIOLANUS_ROMAN,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,K,I,N,G, ,L,E,A,R",1083,test,0.0,4.38344144821167
THE_TRAGEDY_OF_JULIUS_CAESAR_OCTAVIUS,0,"M,U,C,H, ,A,D,O, ,A,B,O,U,T, ,N,O,T,H,I,N,G",1747,test,0.0,4.383643627166748
THE_TRAGEDY_OF_KING_LEAR_EDM,0,"T,H,E, ,T,H,I,R,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",12976,test,0.0,4.383520603179932
THE_TRAGEDY_OF_KING_LEAR_GON,0,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",7966,test,0.0,4.383324146270752
THE_TRAGEDY_OF_MACBETH_HECATE,0,"K,I,N,G, ,R,I,C,H,A,R,D, ,I,I,I",1330,test,0.0,4.383523941040039
THE_TRAGEDY_OF_MACBETH_SIWARD,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",968,test,0.0,4.383330821990967
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_LODOVICO,0,"S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,I,V",2742,test,0.004901960784313725,4.382827281951904
THE_TRAGEDY_OF_TITUS_ANDRONICUS_LUCIUS,0,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",7929,test,0.0,4.382998466491699
THE_TWO_GENTLEMEN_OF_VERONA_DUKE,0,"T,H,E, ,T,W,O, ,G,E,N,T,L,E,M,E,N, ,O,F, ,V,E,R,O,N,A",8134,test,0.0,4.383200168609619
THE_TWO_GENTLEMEN_OF_VERONA_THURIO,0,"A,S, ,Y,O,U, ,L,I,K,E, ,I,T",1908,test,0.0,4.382568836212158
THE_WINTER_S_TALE_PERDITA,0,"T,H,E, ,L,I,F,E, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,I,F,T,H",5085,test,0.00228310502283105,4.383508205413818
THE_WINTER_S_TALE_POLIXENES,0,"T,H,E, ,M,E,R,R,Y, ,W,I,V,E,S, ,O,F, ,W,I,N,D,S,O,R",11745,test,0.0,4.383500576019287
ALLS_WELL_THAT_ENDS_WELL_STEWARD,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",1706,train,0.27895392278953923,2.470985174179077
AS_YOU_LIKE_IT_DUKE_SENIOR,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",5091,train,0.3015258972705781,2.4723799228668213
KING_HENRY_THE_EIGHTH_LOVELL,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,J,U,L,I,U,S, ,C,A,E,S,A,R",2510,train,0.2793991416309013,2.524510145187378
KING_HENRY_THE_EIGHTH_OLD_LADY,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",2470,train,0.2855274629468178,2.5263760089874268
KING_HENRY_THE_EIGHTH_THIRD_GENTLEMAN,1,"M,E,A,S,U,R,E, ,F,O,R, ,M,E,A,S,U,R,E",2110,train,0.2781725888324873,2.5082626342773438
KING_RICHARD_III_RATCLIFF,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",1450,train,0.27398255813953487,2.579707622528076
MEASURE_FOR_MEASURE_LUCIO,1,"T,H,E, ,W,I,N,T,E,R,',S, ,T,A,L,E",12244,train,0.2880072137060415,2.518545627593994
MUCH_ADO_ABOUT_NOTHING_ANT,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,C,O,R,I,O,L,A,N,U,S",1834,train,0.295177222545032,2.4650967121124268
SECOND_PART_OF_KING_HENRY_IV_DAVY,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,O,T,H,E,L,L,O,,, ,M,O,O,R, ,O,F, ,V,E,N,I,C,E",1426,train,0.29763663220088626,2.5060629844665527
THE_FIRST_PART_OF_HENRY_THE_SIXTH_BASTARD,1,"T,H,E, ,H,I,S,T,O,R,Y, ,O,F, ,T,R,O,I,L,U,S, ,A,N,D, ,C,R,E,S,S,I,D,A",1216,train,0.2849785407725322,2.472172260284424
THE_FIRST_PART_OF_HENRY_THE_SIXTH_JOHN,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,O,U,R,T,H",1845,train,0.29404968226458694,2.453221082687378
THE_FIRST_PART_OF_HENRY_THE_SIXTH_SHEPHERD,1,"T,H,E, ,S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",872,train,0.29005847953216374,2.4851653575897217
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_GADS,1,"A,L,L,S, ,W,E,L,L, ,T,H,A,T, ,E,N,D,S, ,W,E,L,L",1872,train,0.2792022792022792,2.4832053184509277
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_LADY,1,"T,H,E, ,L,I,F,E, ,O,F, ,T,I,M,O,N, ,O,F, ,A,T,H,E,N,S",1755,train,0.2818181818181818,2.4689245223999023
THE_HISTORY_OF_TROILUS_AND_CRESSIDA_PANDARUS,1,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",16364,train,0.26861738072712527,2.5498664379119873
THE_LIFE_OF_KING_HENRY_THE_FIFTH_KING,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,M,A,C,B,E,T,H",4341,train,0.287833081950729,2.5042922496795654
THE_LIFE_OF_KING_HENRY_THE_FIFTH_KING_HENRY,1,"T,H,E, ,S,E,C,O,N,D, ,P,A,R,T, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",40679,train,0.2991658033913091,2.4614646434783936
THE_LIFE_OF_TIMON_OF_ATHENS_LUCULLUS,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,A,N,T,O,N,Y, ,A,N,D, ,C,L,E,O,P,A,T,R,A",970,train,0.2595338983050847,2.59108304977417
THE_MERRY_WIVES_OF_WINDSOR_FALSTAFF,1,"T,H,E, ,W,I,N,T,E,R,',S, ,T,A,L,E",13114,train,0.2812263117998821,2.547523021697998
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_SIMPCOX,1,"T,H,E, ,F,I,R,S,T, ,P,A,R,T, ,O,F, ,H,E,N,R,Y, ,T,H,E, ,S,I,X,T,H",829,train,0.2582619339045288,2.6002771854400635
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_WARWICK,1,"T,H,E, ,T,W,O, ,G,E,N,T,L,E,M,E,N, ,O,F, ,V,E,R,O,N,A",5681,train,0.2787422839506173,2.521083116531372
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_FATHER,1,"K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,E,I,G,H,T,H",1002,train,0.2932098765432099,2.4990553855895996
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_CLOWN,1,"T,H,E, ,L,I,F,E, ,O,F, ,K,I,N,G, ,H,E,N,R,Y, ,T,H,E, ,F,I,F,T,H",1111,train,0.3025210084033613,2.3676722049713135
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,1,"T,H,E, ,T,R,A,G,E,D,Y, ,O,F, ,T,I,T,U,S, ,A,N,D,R,O,N,I,C,U,S",1124,train,0.29852125693160814,2.543523073196411
